League,Date,Get,Pay,Value
Ancestor,2023-08-18,Orb of Alchemy,Chaos Orb,1
Ancestor,2023-08-19,Orb of Alchemy,Chaos Orb,0.22222
Ancestor,2023-08-20,Orb of Alchemy,Chaos Orb,0.18182
Ancestor,2023-08-21,Orb of Alchemy,Chaos Orb,0.14286
Ancestor,2023-08-22,Orb of Alchemy,Chaos Orb,0.13333
Ancestor,2023-08-23,Orb of Alchemy,Chaos Orb,0.13333
Ancestor,2023-08-24,Orb of Alchemy,Chaos Orb,0.12667
Ancestor,2023-08-25,Orb of Alchemy,Chaos Orb,0.12667
Ancestor,2023-08-26,Orb of Alchemy,Chaos Orb,0.125
Ancestor,2023-08-27,Orb of Alchemy,Chaos Orb,0.12548
Ancestor,2023-08-28,Orb of Alchemy,Chaos Orb,0.12557
Ancestor,2023-08-29,Orb of Alchemy,Chaos Orb,0.125
Ancestor,2023-08-30,Orb of Alchemy,Chaos Orb,0.12667
Ancestor,2023-08-31,Orb of Alchemy,Chaos Orb,0.125
Ancestor,2023-09-01,Orb of Alchemy,Chaos Orb,0.125
Ancestor,2023-09-02,Orb of Alchemy,Chaos Orb,0.125
Ancestor,2023-09-03,Orb of Alchemy,Chaos Orb,0.125
Ancestor,2023-09-04,Orb of Alchemy,Chaos Orb,0.12193
Ancestor,2023-09-05,Orb of Alchemy,Chaos Orb,0.11945
Ancestor,2023-09-06,Orb of Alchemy,Chaos Orb,0.11765
Ancestor,2023-09-07,Orb of Alchemy,Chaos Orb,0.11492
Ancestor,2023-09-08,Orb of Alchemy,Chaos Orb,0.11111
Ancestor,2023-09-09,Orb of Alchemy,Chaos Orb,0.11111
Ancestor,2023-09-10,Orb of Alchemy,Chaos Orb,0.10999
Ancestor,2023-09-11,Orb of Alchemy,Chaos Orb,0.10938
Ancestor,2023-09-12,Orb of Alchemy,Chaos Orb,0.10667
Ancestor,2023-09-13,Orb of Alchemy,Chaos Orb,0.10588
Ancestor,2023-09-14,Orb of Alchemy,Chaos Orb,0.10714
Ancestor,2023-09-15,Orb of Alchemy,Chaos Orb,0.1
Ancestor,2023-09-16,Orb of Alchemy,Chaos Orb,0.1
Ancestor,2023-09-17,Orb of Alchemy,Chaos Orb,0.1
Ancestor,2023-09-18,Orb of Alchemy,Chaos Orb,0.1
Ancestor,2023-09-19,Orb of Alchemy,Chaos Orb,0.1
Ancestor,2023-09-20,Orb of Alchemy,Chaos Orb,0.1
Ancestor,2023-09-21,Orb of Alchemy,Chaos Orb,0.1
