League,Date,Get,Pay,Value
Affliction,2023-12-08,Orb of Alchemy,Chaos Orb,0.5
Affliction,2023-12-09,Orb of Alchemy,Chaos Orb,0.2
Affliction,2023-12-10,Orb of Alchemy,Chaos Orb,0.18
Affliction,2023-12-11,Orb of Alchemy,Chaos Orb,0.13333
Affliction,2023-12-12,Orb of Alchemy,Chaos Orb,0.125
Affliction,2023-12-13,Orb of Alchemy,Chaos Orb,0.12195
Affliction,2023-12-14,Orb of Alchemy,Chaos Orb,0.11333
Affliction,2023-12-15,Orb of Alchemy,Chaos Orb,0.11111
Affliction,2023-12-16,Orb of Alchemy,Chaos Orb,0.11111
Affliction,2023-12-17,Orb of Alchemy,Chaos Orb,0.1111
Affliction,2023-12-18,Orb of Alchemy,Chaos Orb,0.1069
Affliction,2023-12-19,Orb of Alchemy,Chaos Orb,0.1
Affliction,2023-12-20,Orb of Alchemy,Chaos Orb,0.1
Affliction,2023-12-21,Orb of Alchemy,Chaos Orb,0.1
Affliction,2023-12-22,Orb of Alchemy,Chaos Orb,0.1
Affliction,2023-12-23,Orb of Alchemy,Chaos Orb,0.1
Affliction,2023-12-24,Orb of Alchemy,Chaos Orb,0.0998
Affliction,2023-12-25,Orb of Alchemy,Chaos Orb,0.099
Affliction,2023-12-26,Orb of Alchemy,Chaos Orb,0.09873
Affliction,2023-12-27,Orb of Alchemy,Chaos Orb,0.09753
Affliction,2023-12-28,Orb of Alchemy,Chaos Orb,0.09667
Affliction,2023-12-29,Orb of Alchemy,Chaos Orb,0.09551
Affliction,2023-12-30,Orb of Alchemy,Chaos Orb,0.09114
Affliction,2023-12-31,Orb of Alchemy,Chaos Orb,0.09091
Affliction,2024-01-01,Orb of Alchemy,Chaos Orb,0.08993
Affliction,2024-01-02,Orb of Alchemy,Chaos Orb,0.08745
Affliction,2024-01-03,Orb of Alchemy,Chaos Orb,0.0879
Affliction,2024-01-04,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-05,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-06,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-07,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-08,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-09,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-10,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-11,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-12,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-13,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-14,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-15,Orb of Alchemy,Chaos Orb,0.08333
Affliction,2024-01-16,Orb of Alchemy,Chaos Orb,0.08946
Affliction,2024-01-17,Orb of Alchemy,Chaos Orb,0.08946
Affliction,2024-01-18,Orb of Alchemy,Chaos Orb,0.08946
Affliction,2024-01-19,Orb of Alchemy,Chaos Orb,0.08995
Affliction,2024-01-20,Orb of Alchemy,Chaos Orb,0.09025
Affliction,2024-01-21,Orb of Alchemy,Chaos Orb,0.09027
Affliction,2024-01-22,Orb of Alchemy,Chaos Orb,0.08901
Affliction,2024-01-23,Orb of Alchemy,Chaos Orb,0.0861
Affliction,2024-01-24,Orb of Alchemy,Chaos Orb,0.084
Affliction,2024-01-25,Orb of Alchemy,Chaos Orb,0.08121
Affliction,2024-01-26,Orb of Alchemy,Chaos Orb,0.07697
Affliction,2024-01-27,Orb of Alchemy,Chaos Orb,0.07515
Affliction,2024-01-28,Orb of Alchemy,Chaos Orb,0.07335
Affliction,2024-01-29,Orb of Alchemy,Chaos Orb,0.072
Affliction,2024-01-30,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-01-31,Orb of Alchemy,Chaos Orb,0.0693
Affliction,2024-02-01,Orb of Alchemy,Chaos Orb,0.06662
Affliction,2024-02-02,Orb of Alchemy,Chaos Orb,0.06435
Affliction,2024-02-03,Orb of Alchemy,Chaos Orb,0.0644
Affliction,2024-02-04,Orb of Alchemy,Chaos Orb,0.0625
Affliction,2024-02-05,Orb of Alchemy,Chaos Orb,0.06672
Affliction,2024-02-06,Orb of Alchemy,Chaos Orb,0.06667
Affliction,2024-02-07,Orb of Alchemy,Chaos Orb,0.06664
Affliction,2024-02-08,Orb of Alchemy,Chaos Orb,0.06608
Affliction,2024-02-09,Orb of Alchemy,Chaos Orb,0.06608
Affliction,2024-02-10,Orb of Alchemy,Chaos Orb,0.06552
Affliction,2024-02-11,Orb of Alchemy,Chaos Orb,0.06667
Affliction,2024-02-12,Orb of Alchemy,Chaos Orb,0.06667
Affliction,2024-02-13,Orb of Alchemy,Chaos Orb,0.06667
Affliction,2024-02-14,Orb of Alchemy,Chaos Orb,0.06667
Affliction,2024-02-15,Orb of Alchemy,Chaos Orb,0.0672
Affliction,2024-02-16,Orb of Alchemy,Chaos Orb,0.0672
Affliction,2024-02-17,Orb of Alchemy,Chaos Orb,0.0722
Affliction,2024-02-18,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-19,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-20,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-21,Orb of Alchemy,Chaos Orb,0.07272
Affliction,2024-02-22,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-23,Orb of Alchemy,Chaos Orb,0.07732
Affliction,2024-02-24,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-25,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-26,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-27,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-28,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-02-29,Orb of Alchemy,Chaos Orb,0.07485
Affliction,2024-03-01,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-02,Orb of Alchemy,Chaos Orb,0.0675
Affliction,2024-03-03,Orb of Alchemy,Chaos Orb,0.0675
Affliction,2024-03-04,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-05,Orb of Alchemy,Chaos Orb,0.06975
Affliction,2024-03-06,Orb of Alchemy,Chaos Orb,0.06863
Affliction,2024-03-07,Orb of Alchemy,Chaos Orb,0.06743
Affliction,2024-03-08,Orb of Alchemy,Chaos Orb,0.06975
Affliction,2024-03-09,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-10,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-11,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-12,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-13,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-14,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-15,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-16,Orb of Alchemy,Chaos Orb,0.07129
Affliction,2024-03-17,Orb of Alchemy,Chaos Orb,0.0675
Affliction,2024-03-18,Orb of Alchemy,Chaos Orb,0.06667
Affliction,2024-03-19,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-20,Orb of Alchemy,Chaos Orb,0.07104
Affliction,2024-03-21,Orb of Alchemy,Chaos Orb,0.0693
Affliction,2024-03-22,Orb of Alchemy,Chaos Orb,0.06944
Affliction,2024-03-23,Orb of Alchemy,Chaos Orb,0.06966
Affliction,2024-03-24,Orb of Alchemy,Chaos Orb,0.07143
Affliction,2024-03-25,Orb of Alchemy,Chaos Orb,0.07095
Affliction,2024-03-26,Orb of Alchemy,Chaos Orb,0.0731
Affliction,2023-12-08,Blacksmith's Whetstone,Chaos Orb,0.43333
Affliction,2023-12-09,Blacksmith's Whetstone,Chaos Orb,0.05
Affliction,2023-12-10,Blacksmith's Whetstone,Chaos Orb,0.0625
Affliction,2023-12-11,Blacksmith's Whetstone,Chaos Orb,0.09583
Affliction,2023-12-12,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2023-12-13,Blacksmith's Whetstone,Chaos Orb,0.09948
Affliction,2023-12-14,Blacksmith's Whetstone,Chaos Orb,0.09522
Affliction,2023-12-15,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2023-12-16,Blacksmith's Whetstone,Chaos Orb,0.0909
Affliction,2023-12-17,Blacksmith's Whetstone,Chaos Orb,0.08883
Affliction,2023-12-18,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-19,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-20,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-21,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-22,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-23,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-24,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-25,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-26,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-27,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-28,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-29,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-30,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2023-12-31,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2024-01-01,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2024-01-02,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2024-01-03,Blacksmith's Whetstone,Chaos Orb,0.08674
Affliction,2024-01-04,Blacksmith's Whetstone,Chaos Orb,0.08373
Affliction,2024-01-05,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2024-01-06,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2024-01-07,Blacksmith's Whetstone,Chaos Orb,0.08333
Affliction,2024-01-08,Blacksmith's Whetstone,Chaos Orb,0.08788
Affliction,2024-01-09,Blacksmith's Whetstone,Chaos Orb,0.09
Affliction,2024-01-10,Blacksmith's Whetstone,Chaos Orb,0.08956
Affliction,2024-01-11,Blacksmith's Whetstone,Chaos Orb,0.09
Affliction,2024-01-12,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-13,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-14,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-15,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-16,Blacksmith's Whetstone,Chaos Orb,0.09514
Affliction,2024-01-17,Blacksmith's Whetstone,Chaos Orb,0.0957
Affliction,2024-01-18,Blacksmith's Whetstone,Chaos Orb,0.095
Affliction,2024-01-19,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-20,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-21,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-22,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-23,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-24,Blacksmith's Whetstone,Chaos Orb,0.09091
Affliction,2024-01-25,Blacksmith's Whetstone,Chaos Orb,0.09394
Affliction,2024-01-26,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-01-27,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-01-28,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-01-29,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-01-30,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-01-31,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-01,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-02,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-03,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-04,Blacksmith's Whetstone,Chaos Orb,0.11048
Affliction,2024-02-05,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-06,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-07,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-08,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-09,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-10,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-11,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-12,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-13,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-14,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-15,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-16,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-17,Blacksmith's Whetstone,Chaos Orb,0.11026
Affliction,2024-02-18,Blacksmith's Whetstone,Chaos Orb,0.10154
Affliction,2024-02-19,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-20,Blacksmith's Whetstone,Chaos Orb,0.10044
Affliction,2024-02-21,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-22,Blacksmith's Whetstone,Chaos Orb,0.12467
Affliction,2024-02-23,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-24,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-25,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-26,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-27,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-28,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-02-29,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-03-01,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-03-02,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-03-03,Blacksmith's Whetstone,Chaos Orb,0.1
Affliction,2024-03-04,Blacksmith's Whetstone,Chaos Orb,0.12019
