League,Date,Get,Pay,Value
Crucible,2023-04-07,Chromatic Orb,Chaos Orb,0.2
Crucible,2023-04-08,Chromatic Orb,Chaos Orb,0.08333
Crucible,2023-04-09,Chromatic Orb,Chaos Orb,0.15789
Crucible,2023-04-10,Chromatic Orb,Chaos Orb,0.16667
Crucible,2023-04-11,Chromatic Orb,Chaos Orb,0.16667
Crucible,2023-04-12,Chromatic Orb,Chaos Orb,0.16629
Crucible,2023-04-13,Chromatic Orb,Chaos Orb,0.15477
Crucible,2023-04-14,Chromatic Orb,Chaos Orb,0.15375
Crucible,2023-04-15,Chromatic Orb,Chaos Orb,0.15
Crucible,2023-04-16,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-04-17,Chromatic Orb,Chaos Orb,0.14191
Crucible,2023-04-18,Chromatic Orb,Chaos Orb,0.13699
Crucible,2023-04-19,Chromatic Orb,Chaos Orb,0.13333
Crucible,2023-04-20,Chromatic Orb,Chaos Orb,0.13333
Crucible,2023-04-21,Chromatic Orb,Chaos Orb,0.13158
Crucible,2023-04-22,Chromatic Orb,Chaos Orb,0.12744
Crucible,2023-04-23,Chromatic Orb,Chaos Orb,0.125
Crucible,2023-04-24,Chromatic Orb,Chaos Orb,0.125
Crucible,2023-04-25,Chromatic Orb,Chaos Orb,0.12345
Crucible,2023-04-26,Chromatic Orb,Chaos Orb,0.11905
Crucible,2023-04-27,Chromatic Orb,Chaos Orb,0.11905
Crucible,2023-04-28,Chromatic Orb,Chaos Orb,0.11765
Crucible,2023-04-29,Chromatic Orb,Chaos Orb,0.11896
Crucible,2023-04-30,Chromatic Orb,Chaos Orb,0.11905
Crucible,2023-05-01,Chromatic Orb,Chaos Orb,0.11905
Crucible,2023-05-02,Chromatic Orb,Chaos Orb,0.12132
Crucible,2023-05-03,Chromatic Orb,Chaos Orb,0.12167
Crucible,2023-05-04,Chromatic Orb,Chaos Orb,0.12195
Crucible,2023-05-05,Chromatic Orb,Chaos Orb,0.12195
Crucible,2023-05-06,Chromatic Orb,Chaos Orb,0.12042
Crucible,2023-05-07,Chromatic Orb,Chaos Orb,0.11905
Crucible,2023-05-08,Chromatic Orb,Chaos Orb,0.11981
Crucible,2023-05-09,Chromatic Orb,Chaos Orb,0.11905
Crucible,2023-05-10,Chromatic Orb,Chaos Orb,0.11765
Crucible,2023-05-11,Chromatic Orb,Chaos Orb,0.11667
Crucible,2023-05-12,Chromatic Orb,Chaos Orb,0.11628
Crucible,2023-05-13,Chromatic Orb,Chaos Orb,0.11628
Crucible,2023-05-14,Chromatic Orb,Chaos Orb,0.11628
Crucible,2023-05-15,Chromatic Orb,Chaos Orb,0.11628
Crucible,2023-05-16,Chromatic Orb,Chaos Orb,0.11628
Crucible,2023-05-17,Chromatic Orb,Chaos Orb,0.11628
Crucible,2023-05-18,Chromatic Orb,Chaos Orb,0.11364
Crucible,2023-05-19,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-20,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-21,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-22,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-23,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-24,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-25,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-26,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-27,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-28,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-29,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-30,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-05-31,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-01,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-02,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-03,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-04,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-05,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-06,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-07,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-08,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-09,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-10,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-11,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-12,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-13,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-14,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-15,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-16,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-17,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-18,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-19,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-20,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-21,Chromatic Orb,Chaos Orb,0.11111
Crucible,2023-06-22,Chromatic Orb,Chaos Orb,0.11364
Crucible,2023-06-23,Chromatic Orb,Chaos Orb,0.11628
Crucible,2023-06-24,Chromatic Orb,Chaos Orb,0.12195
Crucible,2023-06-25,Chromatic Orb,Chaos Orb,0.12497
Crucible,2023-06-26,Chromatic Orb,Chaos Orb,0.1243
Crucible,2023-06-27,Chromatic Orb,Chaos Orb,0.125
Crucible,2023-06-28,Chromatic Orb,Chaos Orb,0.12217
Crucible,2023-06-29,Chromatic Orb,Chaos Orb,0.125
Crucible,2023-06-30,Chromatic Orb,Chaos Orb,0.13612
Crucible,2023-07-01,Chromatic Orb,Chaos Orb,0.13967
Crucible,2023-07-02,Chromatic Orb,Chaos Orb,0.13889
Crucible,2023-07-03,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-07-04,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-07-05,Chromatic Orb,Chaos Orb,0.13
Crucible,2023-07-06,Chromatic Orb,Chaos Orb,0.13098
Crucible,2023-07-07,Chromatic Orb,Chaos Orb,0.13419
Crucible,2023-07-08,Chromatic Orb,Chaos Orb,0.13795
Crucible,2023-07-09,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-07-10,Chromatic Orb,Chaos Orb,0.13479
Crucible,2023-07-11,Chromatic Orb,Chaos Orb,0.13313
Crucible,2023-07-12,Chromatic Orb,Chaos Orb,0.14207
Crucible,2023-07-13,Chromatic Orb,Chaos Orb,0.14278
Crucible,2023-07-14,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-07-15,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-07-16,Chromatic Orb,Chaos Orb,0.15131
Crucible,2023-07-17,Chromatic Orb,Chaos Orb,0.15139
Crucible,2023-07-18,Chromatic Orb,Chaos Orb,0.15272
Crucible,2023-07-19,Chromatic Orb,Chaos Orb,0.15355
Crucible,2023-07-20,Chromatic Orb,Chaos Orb,0.15355
Crucible,2023-07-21,Chromatic Orb,Chaos Orb,0.15272
Crucible,2023-07-22,Chromatic Orb,Chaos Orb,0.15272
Crucible,2023-07-23,Chromatic Orb,Chaos Orb,0.15272
Crucible,2023-07-24,Chromatic Orb,Chaos Orb,0.15355
Crucible,2023-07-25,Chromatic Orb,Chaos Orb,0.15355
Crucible,2023-07-26,Chromatic Orb,Chaos Orb,0.15521
Crucible,2023-07-27,Chromatic Orb,Chaos Orb,0.15561
Crucible,2023-07-28,Chromatic Orb,Chaos Orb,0.15597
Crucible,2023-07-29,Chromatic Orb,Chaos Orb,0.15127
Crucible,2023-07-30,Chromatic Orb,Chaos Orb,0.15338
Crucible,2023-07-31,Chromatic Orb,Chaos Orb,0.1577
Crucible,2023-08-01,Chromatic Orb,Chaos Orb,0.15448
Crucible,2023-08-02,Chromatic Orb,Chaos Orb,0.15773
Crucible,2023-08-03,Chromatic Orb,Chaos Orb,0.15385
Crucible,2023-08-04,Chromatic Orb,Chaos Orb,0.15448
Crucible,2023-08-05,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-08-06,Chromatic Orb,Chaos Orb,0.14286
Crucible,2023-08-07,Chromatic Orb,Chaos Orb,0.15054
Crucible,2023-08-08,Chromatic Orb,Chaos Orb,0.14198
Crucible,2023-08-09,Chromatic Orb,Chaos Orb,0.14219
Crucible,2023-08-10,Chromatic Orb,Chaos Orb,0.14286
