League,Date,Get,Pay,Value
Sanctum,2022-12-09,Sacrifice at Dusk,Chaos Orb,1
Sanctum,2022-12-10,Sacrifice at Dusk,Chaos Orb,0.9787
Sanctum,2022-12-11,Sacrifice at Dusk,Chaos Orb,0.4618
Sanctum,2022-12-12,Sacrifice at Dusk,Chaos Orb,0.27212
Sanctum,2022-12-13,Sacrifice at Dusk,Chaos Orb,0.182
Sanctum,2022-12-14,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-15,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-16,Sacrifice at Dusk,Chaos Orb,0.16627
Sanctum,2022-12-17,Sacrifice at Dusk,Chaos Orb,0.16544
Sanctum,2022-12-18,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2022-12-19,Sacrifice at Dusk,Chaos Orb,0.1647
Sanctum,2022-12-20,Sacrifice at Dusk,Chaos Orb,0.16112
Sanctum,2022-12-21,Sacrifice at Dusk,Chaos Orb,0.16595
Sanctum,2022-12-22,Sacrifice at Dusk,Chaos Orb,0.16581
Sanctum,2022-12-23,Sacrifice at Dusk,Chaos Orb,0.16636
Sanctum,2022-12-24,Sacrifice at Dusk,Chaos Orb,0.16603
Sanctum,2022-12-25,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-26,Sacrifice at Dusk,Chaos Orb,0.16529
Sanctum,2022-12-27,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-28,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-29,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-30,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-31,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-01,Sacrifice at Dusk,Chaos Orb,0.16096
Sanctum,2023-01-02,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-03,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-04,Sacrifice at Dusk,Chaos Orb,0.16602
Sanctum,2023-01-05,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-06,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-07,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-08,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-09,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-10,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-11,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-12,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-13,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-14,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-01-15,Sacrifice at Dusk,Chaos Orb,0.16603
Sanctum,2023-01-16,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-01-17,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-01-18,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-01-19,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-01-20,Sacrifice at Dusk,Chaos Orb,0.16291
Sanctum,2023-01-21,Sacrifice at Dusk,Chaos Orb,0.15362
Sanctum,2023-01-22,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-01-23,Sacrifice at Dusk,Chaos Orb,0.15349
Sanctum,2023-01-24,Sacrifice at Dusk,Chaos Orb,0.16614
Sanctum,2023-01-25,Sacrifice at Dusk,Chaos Orb,0.15372
Sanctum,2023-01-26,Sacrifice at Dusk,Chaos Orb,0.15982
Sanctum,2023-01-27,Sacrifice at Dusk,Chaos Orb,0.16206
Sanctum,2023-01-28,Sacrifice at Dusk,Chaos Orb,0.15745
Sanctum,2023-01-29,Sacrifice at Dusk,Chaos Orb,0.1534
Sanctum,2023-01-30,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-01-31,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-02-01,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-02-02,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-02-03,Sacrifice at Dusk,Chaos Orb,0.14278
Sanctum,2023-02-04,Sacrifice at Dusk,Chaos Orb,0.14195
Sanctum,2023-02-05,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-02-06,Sacrifice at Dusk,Chaos Orb,0.14253
Sanctum,2023-02-07,Sacrifice at Dusk,Chaos Orb,0.14899
Sanctum,2023-02-08,Sacrifice at Dusk,Chaos Orb,0.15344
Sanctum,2023-02-09,Sacrifice at Dusk,Chaos Orb,0.1563
Sanctum,2023-02-10,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-02-11,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-02-12,Sacrifice at Dusk,Chaos Orb,0.1624
Sanctum,2023-02-13,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-02-14,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-02-15,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-02-16,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-02-17,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-02-18,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-02-19,Sacrifice at Dusk,Chaos Orb,0.16537
Sanctum,2023-02-20,Sacrifice at Dusk,Chaos Orb,0.16239
Sanctum,2023-02-21,Sacrifice at Dusk,Chaos Orb,0.16643
Sanctum,2023-02-22,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-02-23,Sacrifice at Dusk,Chaos Orb,0.16529
Sanctum,2023-02-24,Sacrifice at Dusk,Chaos Orb,0.16596
Sanctum,2023-02-25,Sacrifice at Dusk,Chaos Orb,0.16392
Sanctum,2023-02-26,Sacrifice at Dusk,Chaos Orb,0.16529
Sanctum,2023-02-27,Sacrifice at Dusk,Chaos Orb,0.16216
Sanctum,2023-02-28,Sacrifice at Dusk,Chaos Orb,0.16208
Sanctum,2023-03-01,Sacrifice at Dusk,Chaos Orb,0.15782
Sanctum,2023-03-02,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-03,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-04,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-05,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-06,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-07,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-08,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-09,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-10,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-11,Sacrifice at Dusk,Chaos Orb,0.15344
Sanctum,2023-03-12,Sacrifice at Dusk,Chaos Orb,0.14286
Sanctum,2023-03-13,Sacrifice at Dusk,Chaos Orb,0.1503
Sanctum,2023-03-14,Sacrifice at Dusk,Chaos Orb,0.14524
Sanctum,2023-03-15,Sacrifice at Dusk,Chaos Orb,0.15344
Sanctum,2023-03-16,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-17,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-18,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-19,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-20,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-21,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-22,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-23,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-24,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-25,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-26,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-27,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-28,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-29,Sacrifice at Dusk,Chaos Orb,0.15385
Sanctum,2023-03-30,Sacrifice at Dusk,Chaos Orb,0.16245
Sanctum,2023-03-31,Sacrifice at Dusk,Chaos Orb,0.16212
Sanctum,2023-04-01,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-04-02,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-04-03,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2023-04-04,Sacrifice at Dusk,Chaos Orb,0.16667
Sanctum,2022-12-09,Sacrifice at Noon,Chaos Orb,1
Sanctum,2022-12-10,Sacrifice at Noon,Chaos Orb,1
Sanctum,2022-12-11,Sacrifice at Noon,Chaos Orb,0.74973
Sanctum,2022-12-12,Sacrifice at Noon,Chaos Orb,0.62711
Sanctum,2022-12-13,Sacrifice at Noon,Chaos Orb,0.4031
Sanctum,2022-12-14,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-15,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-16,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-17,Sacrifice at Noon,Chaos Orb,0.33331
Sanctum,2022-12-18,Sacrifice at Noon,Chaos Orb,0.33299
Sanctum,2022-12-19,Sacrifice at Noon,Chaos Orb,0.33249
Sanctum,2022-12-20,Sacrifice at Noon,Chaos Orb,0.33312
Sanctum,2022-12-21,Sacrifice at Noon,Chaos Orb,0.33323
Sanctum,2022-12-22,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-23,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-24,Sacrifice at Noon,Chaos Orb,0.3331
Sanctum,2022-12-25,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-26,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-27,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-28,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-29,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-30,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2022-12-31,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-01,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-02,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-03,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-04,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-05,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-06,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-07,Sacrifice at Noon,Chaos Orb,0.33872
Sanctum,2023-01-08,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-09,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-10,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-11,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-12,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-13,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-14,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-15,Sacrifice at Noon,Chaos Orb,0.33333
Sanctum,2023-01-16,Sacrifice at Noon,Chaos Orb,0.33333
